date,etf_code,etf_name,stock_code,stock_name,shares,lots,weight,source,fetched_at
2026-08-31,0056,元大高股息,1102,亞泥,147490249,147490.249,0.66,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,1216,統一,254565323,254565.323,2.51,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,1303,南亞,262590459,262590.459,8.23,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,1513,中興電,22531293,22531.293,0.48,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2027,大成鋼,107708350,107708.35,0.68,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2105,正新,147847899,147847.899,0.59,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2301,光寶科,69958620,69958.62,2.76,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2303,聯電,118284716,118284.716,1.97,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2317,鴻海,66680042,66680.042,2.15,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2324,仁寶,198678066,198678.066,1.04,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2344,華邦電,171192412,171192.412,4.04,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2347,聯強,78531597,78531.597,0.88,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2353,宏碁,137714008,137714.008,0.56,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2356,英業達,157819039,157819.039,1.36,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2357,華碩,34867226,34867.226,4.5,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2376,技嘉,30569445,30569.445,1.41,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2377,微星,38521556,38521.556,0.77,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2379,瑞昱,23524770,23524.77,2.19,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2382,廣達,84602010,84602.01,3.7,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2385,群光,32540658,32540.658,0.45,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2408,南亞科,67353599,67353.599,4.73,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2449,京元電子,32427745,32427.745,1.08,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2454,聯發科,2372255,2372.255,1.2,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2474,可成,25406762,25406.762,0.68,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2603,長榮,97835546,97835.546,2.95,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2618,長榮航,246251746,246251.746,1.34,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2645,長榮航太,13167200,13167.2,0.29,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2880,華南金,696486840,696486.84,3.72,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2883,凱基金,601541363,601541.363,2.63,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2884,玉山金,439546065,439546.065,2.26,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2885,元大金,291052921,291052.921,2.46,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2886,兆豐金,541687686,541687.686,3.4,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2887,台新新光金,498893080,498893.08,2.48,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2890,永豐金,727879862,727879.862,3.87,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,2891,中信金,436715731,436715.731,3.65,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3005,神基,28399574,28399.574,0.43,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3023,信邦,10952985,10952.985,0.44,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3034,聯詠,27768158,27768.158,1.94,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3036,文曄,57755076,57755.076,1.46,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3044,健鼎,24830756,24830.756,1.59,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3045,台灣大,139806395,139806.395,2.1,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3231,緯創,156018683,156018.683,3.59,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3702,大聯大,74711897,74711.897,0.96,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,3711,日月光投控,16762341,16762.341,1.26,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,4904,遠傳,159562433,159562.433,2.08,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,4938,和碩,122325570,122325.57,1.44,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,5876,上海商銀,215839174,215839.174,1.2,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,6239,力成,33714666,33714.666,1.21,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,6285,啟碁,22500552,22500.552,0.71,Yuanta PCF,2026-08-31T16:40:16+08:00
2026-08-31,0056,元大高股息,9904,寶成,109174573,109174.573,0.35,Yuanta PCF,2026-08-31T16:40:16+08:00
